ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
964,Frank Sheahan,2000-2007,29,11,18,25,5,0,0,0,Null,23,6,0
965,Gary Longwell,2000-2004,26,18,8,5,1,0,0,0,Null,17,9,0
966,Emmet Byrne,2001-2003,9,1,8,0,0,0,0,0,Null,6,3,0
967,Shane Byrne,2001-2005,45,34,11,15,3,0,0,0,Null,30,14,1
968,Mick O'Driscoll,2001-2011,23,10,13,0,0,0,0,0,Null,11,12,0
969,Jeremy Staunton,2001-2007,5,2,3,21,1,2,4,0,Null,3,2,0
970,Paul O'Connell,2002-2015,115,106,9,40,8,0,0,0,Null,69,44,2
971,Keith Gleeson,2002-2007,27,22,5,20,4,0,0,0,Null,15,12,0
972,John Kelly,2002-2003,17,13,4,40,8,0,0,0,Null,12,5,0
973,Leo Cullen,2002-2011,32,15,17,0,0,0,0,0,Null,25,7,0
974,Donncha O'Callaghan,2003-2013,98,70,28,5,1,0,0,0,Null,53,41,4
975,Mark McHugh,2003-2003,1,1,0,5,1,0,0,0,Null,1,0,0
976,Simon Best,2003-2007,23,8,15,5,1,0,0,0,Null,17,6,0
977,Anthony Horgan,2003-2005,7,6,1,5,1,0,0,0,Null,5,2,0
978,Aidan McCullen,2003-2003,1,1,0,0,0,0,0,0,Null,1,0,0
979,Paul Shields,2003-2003,2,0,2,0,0,0,0,0,Null,2,0,0
980,Gavin Duffy,2004-2009,10,7,3,18,3,0,1,0,Null,5,5,0
981,Johnny O'Connor,2004-2006,12,10,2,5,1,0,0,0,Null,8,4,0
982,Tommy Bowe,2004-2017,74,72,2,150,30,0,0,0,Null,40,32,2
983,Denis Leamy,2004-2011,57,41,16,10,2,0,0,0,Null,36,20,1
984,Matt McCullough,2005-2005,4,2,2,0,0,0,0,0,Null,2,2,0
985,Roger Wilson,2005-2005,1,1,0,0,0,0,0,0,Null,1,0,0
986,Kieran Campbell,2005-2005,3,1,2,0,0,0,0,0,Null,3,0,0
987,Trevor Hogan,2005-2007,4,1,3,0,0,0,0,0,Null,3,1,0
988,Bernard Jackman,2005-2008,9,2,7,0,0,0,0,0,Null,4,5,0
989,David Quinlan,2005-2005,2,1,1,0,0,0,0,0,Null,2,0,0
990,Kieran Lewis,2005-2007,3,1,2,0,0,0,0,0,Null,1,2,0
991,Neil Best,2005-2007,18,9,9,10,2,0,0,0,Null,8,10,0
992,Rory Best,2005-2019,124,102,22,60,12,0,0,0,Null,73,48,3
993,Andrew Trimble,2005-2017,70,57,13,85,17,0,0,0,Null,38,30,2
994,Jerry Flannery,2005-2011,41,25,16,15,3,0,0,0,Null,23,17,1
995,Eoin Reddan,2006-2016,71,26,45,10,2,0,0,0,Null,34,35,2
996,Isaac Boss,2006-2015,22,8,14,15,3,0,0,0,Null,14,8,0
997,Bryan Young,2006-2007,8,5,3,0,0,0,0,0,Null,3,5,0
998,Paddy Wallace,2006-2012,30,16,14,53,2,11,7,0,Null,17,12,1
999,Stephen Ferris,2006-2012,35,30,5,10,2,0,0,0,Null,19,14,2
1000,Luke Fitzgerald,2006-2015,35,24,11,20,4,0,0,0,Null,16,17,2
1001,Jamie Heaslip,2006-2017,100,96,4,65,13,0,0,0,Null,52,44,4
1002,Brian Carney,2007-2007,4,3,1,5,1,0,0,0,Null,1,3,0
1003,Tony Buckley,2007-2011,25,9,16,10,2,0,0,0,Null,11,14,0
1004,Barry Murphy,2007-2009,4,3,1,5,1,0,0,0,Null,2,2,0
1005,Tomas O'Leary,2007-2012,24,19,5,15,3,0,0,0,Null,13,10,1
1006,Shane Jennings,2007-2012,13,6,7,5,1,0,0,0,Null,6,7,0
1007,Rob Kearney,2007-2019,98,93,5,87,17,1,0,0,Null,53,42,3
1008,Keith Earls,2008-2020,86,75,11,150,30,0,0,0,Null,51,31,4
1009,Donnacha Ryan,2008-2017,47,26,21,0,0,0,0,0,Null,21,23,3
1010,Tom Court,2009-2013,32,8,24,5,1,0,0,0,Null,18,13,1
1011,Darren Cave,2009-2015,11,9,2,10,2,0,0,0,Null,9,2,0
1012,Ian Dowling,2009-2009,2,2,0,0,0,0,0,0,Null,2,0,0
1013,Ian Keatley,2009-2017,7,3,4,37,0,5,9,0,Null,7,0,0
1014,John Muldoon,2009-2010,3,3,0,0,0,0,0,0,Null,2,1,0
1015,Niall Ronan,2009-2011,4,4,0,0,0,0,0,0,Null,2,2,0
1016,Ian Whitten,2009-2009,2,2,0,10,2,0,0,0,Null,2,0,0
1017,Ryan Caldwell,2009-2009,2,0,2,0,0,0,0,0,Null,2,0,0
1018,Mike Ross,2009-2016,61,59,2,0,0,0,0,0,Null,37,22,2
1019,Denis Hurley,2009-2009,1,0,1,0,0,0,0,0,Null,1,0,0
1020,Cian Healy,2009-2020,102,80,22,30,6,0,0,0,Null,61,38,3
1021,Johnny Sexton,2009-2020,100,90,10,855,15,120,176,4,Null,60,37,3
1022,Sean Cronin,2009-2019,72,10,62,30,6,0,0,0,Null,46,23,3
1023,Sean O'Brien,2009-2019,61,53,8,35,7,0,0,0,Null,32,26,3
1024,Kevin McLaughlin,2010-2013,8,4,4,0,0,0,0,0,Null,2,6,0
1025,John Fogarty,2010-2010,1,0,1,0,0,0,0,0,Null,0,1,0
1026,Dan Tuohy,2010-2015,11,6,5,5,1,0,0,0,Null,6,5,0
1027,Chris Henry,2010-2015,24,15,9,20,4,0,0,0,Null,17,7,0
1028,Rhys Ruddock,2010-2019,26,12,14,20,4,0,0,0,Null,18,7,1
1029,Damien Varley,2010-2014,3,0,3,0,0,0,0,0,Null,2,1,0
1030,Devin Toner,2010-2020,70,53,17,10,2,0,0,0,Null,50,19,1
1031,Fergus McFadden,2011-2018,34,15,19,50,10,0,0,0,Null,19,13,2
1032,Mike McCarthy,2011-2016,19,12,7,0,0,0,0,0,Null,8,9,2
1033,Felix Jones,2011-2015,13,5,8,15,3,0,0,0,Null,9,4,0
1034,Conor Murray,2011-2020,90,81,9,100,15,5,5,0,Null,50,36,4
1035,Peter O'Mahony,2012-2020,72,61,11,10,2,0,0,0,Null,45,25,2
1036,Declan Fitzpatrick,2012-2013,7,1,6,0,0,0,0,0,Null,3,4,0
1037,Simon Zebo,2012-2017,35,30,5,45,9,0,0,0,Null,25,9,1
1038,Ronan Loughney,2012-2012,1,0,1,0,0,0,0,0,Null,0,1,0
1039,Richardt Strauss,2012-2016,17,8,9,10,2,0,0,0,Null,10,7,0
1040,Michael Bent,2012-2015,4,0,4,0,0,0,0,0,Null,3,1,0
1041,Iain Henderson,2012-2020,56,31,25,25,5,0,0,0,Null,38,17,1
1042,Dave Kilcoyne,2012-2020,39,8,31,5,1,0,0,0,Null,28,11,0
1043,Craig Gilroy,2012-2017,10,8,2,25,5,0,0,0,Null,6,4,0
1044,Paddy Jackson,2013-2017,25,14,11,195,2,46,30,1,Null,15,9,1
1045,Luke Marshall,2013-2017,11,11,0,10,2,0,0,0,Null,6,4,1
1046,Ian Madigan,2013-2016,30,6,24,121,2,27,19,0,Null,19,9,2
1047,Stephen Archer,2013-2013,2,0,2,0,0,0,0,0,Null,0,2,0
1048,Paul Marshall,2013-2013,3,0,3,0,0,0,0,0,Null,2,1,0
1049,Robbie Henshaw,2013-2020,46,41,5,35,7,0,0,0,Null,29,16,1
1050,Stuart Olding,2013-2016,4,3,1,5,1,0,0,0,Null,2,2,0
1051,Jamie Hagan,2013-2013,1,0,1,0,0,0,0,0,Null,1,0,0
1052,Tommy O'Donnell,2013-2019,13,7,6,10,2,0,0,0,Null,11,1,1
1053,Mike Sherry,2013-2013,1,0,1,0,0,0,0,0,Null,1,0,0
1054,James Downey,2013-2013,1,1,0,0,0,0,0,0,Null,1,0,0
1055,Jack McGrath,2013-2019,59,34,25,10,2,0,0,0,Null,40,17,2
1056,Dave Kearney,2013-2019,19,15,4,25,5,0,0,0,Null,12,6,1
1057,Marty Moore,2014-2015,10,0,10,0,0,0,0,0,Null,8,2,0
1058,Jordi Murphy,2014-2019,30,16,14,15,3,0,0,0,Null,24,6,0
1059,Robbie Diack,2014-2014,2,2,0,0,0,0,0,0,Null,2,0,0
1060,Rodney Ah You,2014-2014,3,0,3,0,0,0,0,0,Null,3,0,0
1061,Kieran Marmion,2014-2019,27,8,19,25,5,0,0,0,Null,22,5,0
1062,James Cronin,2014-2016,3,0,3,0,0,0,0,0,Null,2,1,0
1063,Rob Herring,2014-2020,14,8,6,5,1,0,0,0,Null,10,4,0
1064,Noel Reid,2014-2014,1,0,1,0,0,0,0,0,Null,1,0,0
1065,Jared Payne,2014-2017,20,20,0,20,4,0,0,0,Null,14,5,1
1066,Dave Foley,2014-2014,2,1,1,0,0,0,0,0,Null,2,0,0
1067,Dominic Ryan,2014-2014,1,1,0,0,0,0,0,0,Null,1,0,0
1068,Robin Copeland,2014-2014,1,0,1,0,0,0,0,0,Null,1,0,0
1069,Jack Conan,2015-2019,17,12,5,30,6,0,0,0,Null,15,2,0
1070,Nathan White,2015-2016,13,4,9,0,0,0,0,0,Null,7,5,1
1071,Tadhg Furlong,2015-2020,47,36,11,25,5,0,0,0,Null,29,16,2
1072,CJ Stander,2016-2020,45,41,4,55,11,0,0,0,Null,28,15,2
1073,Stuart McCloskey,2016-2018,3,3,0,5,1,0,0,0,Null,2,1,0
1074,Josh van der Flier,2016-2020,27,20,7,10,2,0,0,0,Null,19,8,0
1075,Ultan Dillane,2016-2020,17,3,14,5,1,0,0,0,Null,12,5,0
1076,Finlay Bealham,2016-2020,13,2,11,0,0,0,0,0,Null,9,4,0
1077,Quinn Roux,2016-2020,14,8,6,15,3,0,0,0,Null,9,5,0
1078,Tiernan O'Halloran,2016-2017,6,3,3,10,2,0,0,0,Null,4,2,0
1079,Sean Reidy,2016-2017,2,0,2,5,1,0,0,0,Null,1,1,0
1080,Matt Healy,2016-2016,1,0,1,0,0,0,0,0,Null,0,1,0
1081,Joey Carbery,2016-2019,22,6,16,78,1,29,5,0,Null,18,4,0
1082,Billy Holland,2016-2016,1,1,0,0,0,0,0,0,Null,1,0,0
1083,Jack O'Donoghue,2016-2017,2,1,1,0,0,0,0,0,Null,2,0,0
1084,Garry Ringrose,2016-2020,30,27,3,42,8,1,0,0,Null,22,8,0
1085,Niyi Adeolokun,2016-2016,1,0,1,0,0,0,0,0,Null,1,0,0
1086,Dan Leavy,2016-2018,11,6,5,15,3,0,0,0,Null,11,0,0
1087,Luke McGrath,2016-2019,19,4,15,15,3,0,0,0,Null,16,3,0
1088,John Ryan,2016-2019,21,6,15,5,1,0,0,0,Null,18,3,0
1089,James Tracy,2016-2017,6,1,5,5,1,0,0,0,Null,6,0,0
1090,Niall Scannell,2017-2019,20,9,11,5,1,0,0,0,Null,17,3,0
1091,Andrew Conway,2017-2020,24,17,7,50,10,0,0,0,Null,21,3,0
1092,Jacob Stockdale,2017-2020,31,30,1,90,18,0,0,0,Null,22,9,0
1093,Dave Heffernan,2017-2020,4,0,4,5,1,0,0,0,Null,3,1,0
1094,Andrew Porter,2017-2020,30,8,22,5,1,0,0,0,Null,22,8,0
1095,James Ryan,2017-2020,30,27,3,15,3,0,0,0,Null,22,8,0
1096,Rory Scannell,2017-2017,3,1,2,6,0,3,0,0,Null,3,0,0
1097,Rory O'Loughlin,2017-2017,1,0,1,0,0,0,0,0,Null,1,0,0
1098,Kieran Treadwell,2017-2017,3,1,2,0,0,0,0,0,Null,3,0,0
1099,John Cooney,2017-2020,11,1,10,7,1,1,0,0,Null,9,2,0
1100,Bundee Aki,2017-2020,29,29,0,25,5,0,0,0,Null,22,7,0
1101,Darren Sweetnam,2017-2018,3,2,1,5,1,0,0,0,Null,3,0,0
1102,Chris Farrell,2017-2020,12,10,2,0,0,0,0,0,Null,9,3,0
1103,Adam Byrne,2017-2017,1,1,0,0,0,0,0,0,Null,1,0,0
1104,Jordan Larmour,2018-2020,24,11,13,35,7,0,0,0,Null,17,7,0
1105,Tadhg Beirne,2018-2020,16,8,8,15,3,0,0,0,Null,11,5,0
1106,Will Addison,2018-2019,4,3,1,0,0,0,0,0,Null,4,0,0
1107,Ross Byrne,2018-2020,9,2,7,13,0,5,1,0,Null,5,4,0
1108,Sammy Arnold,2018-2018,1,0,1,0,0,0,0,0,Null,1,0,0
1109,Jack Carty,2019-2019,10,2,8,16,0,5,2,0,Null,7,3,0
1110,Jean Kleyn,2019-2019,5,4,1,0,0,0,0,0,Null,4,1,0
1111,Mike Haley,2019-2019,1,0,1,0,0,0,0,0,Null,1,0,0
1112,Caelan Doris,2020-2020,6,5,1,0,0,0,0,0,Null,3,3,0
1113,Ronan Kelleher,2020-2020,5,2,3,0,0,0,0,0,Null,3,2,0
1114,Max Deegan,2020-2020,1,0,1,0,0,0,0,0,Null,1,0,0
1115,Will Connors,2020-2020,4,2,2,5,1,0,0,0,Null,2,2,0
1116,Hugo Keenan,2020-2020,4,4,0,10,2,0,0,0,Null,2,2,0
1117,Ed Byrne,2020-2020,3,0,3,0,0,0,0,0,Null,2,1,0
1118,Jamison Gibson-Park,2020-2020,4,2,2,0,0,0,0,0,Null,2,2,0
1119,James Lowe,2020-2020,2,2,0,5,1,0,0,0,Null,1,1,0
1120,Billy Burns,2020-2020,2,0,2,8,0,1,2,0,Null,1,1,0
