ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
456,Rex Hamilton,1926-1926,1,1,0,0,0,0,0,0,0,1,0,0
457,Joseph Neill,1926-1926,1,1,0,0,0,0,0,0,0,1,0,0
458,Allan Buchanan,1926-1927,6,6,0,0,0,0,0,0,0,4,2,0
459,Charles Payne,1926-1930,16,16,0,0,0,0,0,0,0,10,5,1
460,Jack Gage,1926-1933,5,5,0,3,1,0,0,0,0,4,1,0
461,Charles Hanrahan,1926-1932,20,20,0,3,1,0,0,0,0,11,8,1
462,Maurice Atkinson,1927-1927,2,2,0,0,0,0,0,0,0,1,1,0
463,Jim Ganly,1927-1930,12,12,0,24,7,0,1,0,0,7,5,0
464,Paul Murray,1927-1933,23,23,0,33,1,7,4,1,0,11,12,0
465,Norman Ross,1927-1927,2,2,0,0,0,0,0,0,0,1,1,0
466,Hugh McVicker,1927-1928,5,5,0,3,1,0,0,0,0,3,2,0
467,Theodore Pike,1927-1928,8,8,0,3,1,0,0,0,0,5,3,0
468,Joxer Arigho,1928-1931,16,16,0,18,6,0,0,0,0,8,7,1
469,Thomas Bramwell,1928-1928,1,1,0,0,0,0,0,0,0,1,0,0
470,Reginald Odbert,1928-1928,1,1,0,0,0,0,0,0,0,1,0,0
471,Rowland Byers,1928-1929,5,5,0,0,0,0,0,0,0,3,1,1
472,Jerry Mullane,1928-1928,2,2,0,0,0,0,0,0,0,2,0,0
473,Mike Dunne,1928-1934,16,16,0,0,0,0,0,0,0,7,9,0
474,Hugh Browne,1929-1929,3,3,0,2,0,1,0,0,0,1,1,1
475,John Synge,1929-1929,1,1,0,0,0,0,0,0,0,0,1,0
476,Morgan Crowe,1929-1934,13,13,0,6,2,0,0,0,0,6,6,1
477,Mark Deering,1929-1929,1,1,0,0,0,0,0,0,0,0,0,1
478,Claude Carroll,1930-1930,1,1,0,0,0,0,0,0,0,0,1,0
479,Ted Hunt,1930-1933,5,5,0,6,2,0,0,0,0,2,3,0
480,William McCormick,1930-1930,1,1,0,0,0,0,0,0,0,1,0,0
481,Noel Murphy,1930-1933,11,11,0,0,0,0,0,0,0,5,6,0
482,Henry O'Neill,1930-1933,11,11,0,0,0,0,0,0,0,4,7,0
483,Frederick Williamson,1930-1930,3,3,0,0,0,0,0,0,0,2,1,0
484,Ter Casey,1930-1932,2,2,0,0,0,0,0,0,0,1,1,0
485,Major Egan,1931-1931,3,3,0,0,0,0,0,0,0,1,2,0
486,Edward Lightfoot,1931-1933,11,11,0,9,3,0,0,0,0,5,6,0
487,Jack Russell,1931-1937,19,19,0,6,2,0,0,0,0,8,11,0
488,Jack Siggins,1931-1937,24,24,0,12,1,0,3,0,0,11,13,0
489,Hal Withers,1931-1931,5,5,0,0,0,0,0,0,0,2,3,0
490,Laurence McMahon,1931-1938,12,12,0,12,3,0,1,0,0,5,7,0
491,Victor Pike,1931-1934,13,13,0,3,1,0,0,0,0,5,8,0
492,John Entrican,1931-1931,1,1,0,0,0,0,0,0,0,1,0,0
493,Dermot Morris,1931-1935,6,6,0,0,0,0,0,0,0,2,4,0
494,William Ross,1932-1935,9,9,0,6,2,0,0,0,0,3,6,0
495,Michael Sheehan,1932-1932,1,1,0,0,0,0,0,0,0,0,1,0
496,Shaun Waide,1932-1933,5,5,0,9,3,0,0,0,0,3,2,0
497,Ernest Ridgeway,1932-1935,5,5,0,3,1,0,0,0,0,4,1,0
498,Robin Pratt,1933-1934,5,5,0,0,0,0,0,0,0,1,4,0
499,Bobby Barnes,1933-1933,1,1,0,3,1,0,0,0,0,1,0,0
500,Charles Beamish,1933-1938,12,12,0,3,1,0,0,0,0,5,7,0
501,Paddy Coote,1933-1933,1,1,0,0,0,0,0,0,0,0,1,0
502,Joseph O'Connor,1933-1938,11,11,0,9,3,0,0,0,0,3,8,0
503,Mebs Bardon,1934-1934,1,1,0,0,0,0,0,0,0,0,1,0
504,Bob Graves,1934-1938,17,17,0,0,0,0,0,0,0,6,11,0
505,George Morgan,1934-1939,20,20,0,6,2,0,0,0,0,9,11,0
506,James Rearden,1934-1934,2,2,0,0,0,0,0,0,0,0,2,0
507,Sam Walker,1934-1938,18,18,0,7,1,2,0,0,0,7,11,0
508,Ham Lambert,1934-1934,2,2,0,0,0,0,0,0,0,0,2,0
509,David Lane,1934-1935,4,4,0,0,0,0,0,0,0,1,3,0
510,John Reid,1934-1934,2,2,0,0,0,0,0,0,0,0,2,0
511,Aidan Bailey,1934-1938,13,13,0,22,4,2,2,0,0,6,7,0
512,Daniel Langan,1934-1934,1,1,0,0,0,0,0,0,0,0,1,0
513,Noel McGrath,1934-1934,1,1,0,0,0,0,0,0,0,0,1,0
514,John Megaw,1934-1938,2,2,0,0,0,0,0,0,0,0,2,0
515,Philip Crowe,1935-1938,2,2,0,2,0,1,0,0,0,0,2,0
516,Seamus Deering,1935-1937,9,9,0,0,0,0,0,0,0,5,4,0
517,Patrick Lawlor,1935-1937,6,6,0,3,1,0,0,0,0,4,2,0
518,Mike Sayers,1935-1939,10,10,0,3,0,0,0,0,1,6,4,0
519,Victor Hewitt,1935-1936,6,6,0,4,0,0,0,1,0,4,2,0
520,Jack Doyle,1935-1935,1,1,0,3,1,0,0,0,0,1,0,0
521,Vesey Boyle,1935-1939,11,11,0,3,1,0,0,0,0,5,6,0
522,Thomas Dunn,1935-1935,1,1,0,0,0,0,0,0,0,0,1,0
523,George Malcolmson,1935-1937,7,7,0,0,0,0,0,0,0,4,3,0
