No.,Player,Position,Debut
428,Dick Collopy,P,"v England Leicester, 10 Feb 1923"
429,Dunlop Cunningham,L,"v England Leicester, 10 Feb 1923"
430,James Gardiner,SH,"v England Leicester, 10 Feb 1923"
431,Robert Gray,N8,"v England Leicester, 10 Feb 1923"
432,William Hall,FH,"v England Leicester, 10 Feb 1923"
433,Finlay Jackson,C,"v England Leicester, 10 Feb 1923"
434,Robert McClenahan,W,"v England Leicester, 10 Feb 1923"
435,Jack Mahony,N8,"v England Leicester, 10 Feb 1923"
436,Peter Dunn,L,"v Scotland Lansdowne Road, 24 Feb 1923"
437,Jamie Clinch,F,"v Wales Lansdowne Road, 10 Mar 1923"
438,Arthur Douglas,W,"v France Colombes, 14 Apr 1923"
439,Alfred Atkins,W,"v France Lansdowne Road, 26 Jan 1924"
440,William Collis,H,"v France Lansdowne Road, 26 Jan 1924"
441,John McDowell,FH,"v France Lansdowne Road, 26 Jan 1924"
442,Jim McVicker,L,"v France Lansdowne Road, 26 Jan 1924"
443,Ian Stuart,L,"v England Belfast, 9 Feb 1924"
444,Frank Hewitt,FH,"v Wales Cardiff, 8 Mar 1924"
445,Tom Hewitt,W,"v Wales Cardiff, 8 Mar 1924"
446,Norman Brand,Fwd,"v New Zealand Lansdowne Road, 1 Nov 1924"
447,Alex Spain,L,"v New Zealand Lansdowne Road, 1 Nov 1924"
448,Mark Sugden,SH,"v France Colombes, 1 Jan 1925"
449,George Beamish,N8,"v England Twickenham, 14 Feb 1925"
450,William Browne,H,"v England Twickenham, 14 Feb 1925"
451,Standish Cagney,L,"v Wales Belfast, 14 Mar 1925"
452,Eugene Davy,FH,"v Wales Belfast, 14 Mar 1925"
453,Robert Flood,N8,"v Wales Belfast, 14 Mar 1925"
454,Terence Millin,C,"v Wales Belfast, 14 Mar 1925"
455,Jimmy Farrell,F,"v France Belfast, 23 Jan 1926"
456,Rex Hamilton,W,"v France Belfast, 23 Jan 1926"
457,Joseph Neill,F,"v France Belfast, 23 Jan 1926"
458,Allan Buchanan,P,"v England Lansdowne Road, 13 Feb 1926"
459,Charles Payne,H,"v England Lansdowne Road, 13 Feb 1926"
460,Jack Gage,W,"v Scotland Murrayfield, 27 Feb 1926"
461,Charles Hanrahan,N8,"v Scotland Murrayfield, 27 Feb 1926"
462,Maurice Atkinson,C,"v France Colombes, 1 Jan 1927"
463,Jim Ganly,W,"v France Colombes, 1 Jan 1927"
464,Paul Murray,SH,"v France Colombes, 1 Jan 1927"
465,Norman Ross,N8,"v France Colombes, 1 Jan 1927"
466,Hugh McVicker,L,"v England Twickenham, 12 Feb 1927"
467,Theodore Pike,P,"v England Twickenham, 12 Feb 1927"
468,Joxer Arigho,W,"v France Belfast, 28 Jan 1928"
469,Thomas Bramwell,H,"v France Belfast, 28 Jan 1928"
470,Reginald Odbert,C,"v France Belfast, 28 Jan 1928"
471,Rowland Byers,W,"v Scotland Murrayfield, 25 Feb 1928"
472,Jerry Mullane,F,"v Wales Cardiff, 10 Mar 1928"
473,Mike Dunne,L,"v France Colombes, 31 Dec 1928"
474,Hugh Browne,H,"v England Twickenham, 9 Feb 1929"
475,John Synge,F,"v Scotland Lansdowne Road, 23 Feb 1929"
476,Morgan Crowe,C,"v Wales Belfast, 9 Mar 1929"
477,Mark Deering,L,"v Wales Belfast, 9 Mar 1929"
478,Claude Carroll,L,"v France Belfast, 25 Jan 1930"
479,Ted Hunt,FB,"v France Belfast, 25 Jan 1930"
480,William McCormick,N8,"v England Lansdowne Road, 8 Feb 1930"
481,Noel Murphy,F,"v England Lansdowne Road, 8 Feb 1930"
482,Henry O'Neill,P,"v England Lansdowne Road, 8 Feb 1930"
483,Frederick Williamson,FB,"v England Lansdowne Road, 8 Feb 1930"
484,Ter Casey,H,"v Scotland Murrayfield, 22 Feb 1930"
485,Major Egan,FB,"v France Colombes, 1 Jan 1931"
486,Edward Lightfoot,W,"v France Colombes, 1 Jan 1931"
487,Jack Russell,L,"v France Colombes, 1 Jan 1931"
488,Jack Siggins,N8,"v France Colombes, 1 Jan 1931"
489,Hal Withers,N8,"v France Colombes, 1 Jan 1931"
