No.,Player,Position,Debut
1022,Sean Cronin,(H),"v Fiji Dublin, 21 Nov 2009"
1023,Sean O'Brien,(F),"v Fiji Dublin, 21 Nov 2009"
1024,Kevin McLaughlin,F,"v Italy Croke Park, 6 Feb 2010"
1025,John Fogarty,(H),"v New Zealand New Plymouth, 12 Jun 2010"
1026,Dan Tuohy,(L),"v New Zealand New Plymouth, 12 Jun 2010"
1027,Chris Henry,N8,"v Australia Brisbane, 26 Jun 2010"
1028,Rhys Ruddock,(N8),"v Australia Brisbane, 26 Jun 2010"
1029,Damien Varley,(H),"v Australia Brisbane, 26 Jun 2010"
1030,Devin Toner,L,"v Samoa Lansdowne Road, 13 Nov 2010"
1031,Fergus McFadden,W,"v Italy Rome, 5 Feb 2011"
1032,Mike McCarthy,F,"v Scotland Murrayfield, 6 Aug 2011"
1033,Felix Jones,(W),"v Scotland Murrayfield, 6 Aug 2011"
1034,Conor Murray,(SH),"v France Bordeaux, 13 Aug 2011"
1035,Peter O'Mahony,(F),"v Italy Lansdowne Road, 25 Feb 2012"
1036,Declan Fitzpatrick,P,"v New Zealand Auckland, 9 Jun 2012"
1037,Simon Zebo,W,"v New Zealand Auckland, 9 Jun 2012"
1038,Ronan Loughney,(P),"v New Zealand Auckland, 9 Jun 2012"
1039,Richardt Strauss,H,"v South Africa Lansdowne Road, 10 Nov 2012"
1040,Michael Bent,(P),"v South Africa Lansdowne Road, 10 Nov 2012"
1041,Iain Henderson,(F),"v South Africa Lansdowne Road, 10 Nov 2012"
1042,Dave Kilcoyne,(P),"v South Africa Lansdowne Road, 10 Nov 2012"
1043,Craig Gilroy,W,"v Argentina Lansdowne Road, 24 Nov 2012"
1044,Paddy Jackson,FH,"v Scotland Murrayfield, 24 Feb 2013"
1045,Luke Marshall,C,"v Scotland Murrayfield, 24 Feb 2013"
1046,Ian Madigan,(C),"v France Lansdowne Road, 9 Mar 2013"
1047,Stephen Archer,(P),"v Italy Rome, 16 Mar 2013"
1048,Paul Marshall,(W),"v Italy Rome, 16 Mar 2013"
1049,Robbie Henshaw,FB,"v USA Houston, 8 Jun 2013"
1050,Stuart Olding,C,"v USA Houston, 8 Jun 2013"
1051,Jamie Hagan,(P),"v USA Houston, 8 Jun 2013"
1052,Tommy O'Donnell,(F),"v USA Houston, 8 Jun 2013"
1053,Mike Sherry,(H),"v USA Houston, 8 Jun 2013"
1054,James Downey,C,"v Canada Toronto, 15 Jun 2013"
1055,Jack McGrath,P,"v Samoa Lansdowne Road, 9 Nov 2013"
1056,Dave Kearney,(W),"v Samoa Lansdowne Road, 9 Nov 2013"
1057,Marty Moore,(P),"v Scotland Lansdowne Road, 2 Feb 2014"
1058,Jordi Murphy,(F),"v England Twickenham, 22 Feb 2014"
1059,Robbie Diack,F,"v Argentina Resistencia, 7 Jun 2014"
1060,Rodney Ah You,(P),"v Argentina Resistencia, 7 Jun 2014"
1061,Kieran Marmion,(SH),"v Argentina Resistencia, 7 Jun 2014"
1062,James Cronin,(P),"v Argentina Tucuman, 14 Jun 2014"
1063,Rob Herring,(F),"v Argentina Tucuman, 14 Jun 2014"
1064,Noel Reid,(C),"v Argentina Tucuman, 14 Jun 2014"
1065,Jared Payne,C,"v South Africa Lansdowne Road, 8 Nov 2014"
1066,Dave Foley,L,"v Georgia Lansdowne Road, 16 Nov 2014"
1067,Dominic Ryan,F,"v Georgia Lansdowne Road, 16 Nov 2014"
1068,Robin Copeland,(L),"v Georgia Lansdowne Road, 16 Nov 2014"
1069,Jack Conan,F,"v Scotland Lansdowne Road, 15 Aug 2015"
1070,Nathan White,(P),"v Scotland Lansdowne Road, 15 Aug 2015"
1071,Tadhg Furlong,(P),"v Wales Lansdowne Road, 29 Aug 2015"
1072,CJ Stander,F,"v Wales Lansdowne Road, 7 Feb 2016"
1073,Stuart McCloskey,C,"v England Twickenham, 27 Feb 2016"
1074,Josh van der Flier,F,"v England Twickenham, 27 Feb 2016"
1075,Ultan Dillane,(L),"v England Twickenham, 27 Feb 2016"
1076,Finlay Bealham,(P),"v Italy Lansdowne Road, 12 Mar 2016"
1077,Quinn Roux,L,"v South Africa Johannesburg, 18 Jun 2016"
1078,Tiernan O'Halloran,(FB),"v South Africa Johannesburg, 18 Jun 2016"
1079,Sean Reidy,(F),"v South Africa Johannesburg, 18 Jun 2016"
1080,Matt Healy,(FB),"v South Africa Port Elizabeth, 25 Jun 2016"
1081,Joey Carbery,(FH),"v New Zealand Chicago, 5 Nov 2016"
1082,Billy Holland,L,"v Canada Lansdowne Road, 12 Nov 2016"
1083,Jack O'Donoghue,N8,"v Canada Lansdowne Road, 12 Nov 2016"
1084,Garry Ringrose,C,"v Canada Lansdowne Road, 12 Nov 2016"
1085,Niyi Adeolokun,(W),"v Canada Lansdowne Road, 12 Nov 2016"
1086,Dan Leavy,(F),"v Canada Lansdowne Road, 12 Nov 2016"
1087,Luke McGrath,(SH),"v Canada Lansdowne Road, 12 Nov 2016"
1088,John Ryan,(P),"v Canada Lansdowne Road, 12 Nov 2016"
1089,James Tracy,(H),"v Canada Lansdowne Road, 12 Nov 2016"
1090,Niall Scannell,H,"v Italy Rome, 11 Feb 2017"
1091,Andrew Conway,(W),"v England Lansdowne Road, 18 Mar 2017"
1092,Jacob Stockdale,W,"v USA Harrison, 10 Jun 2017"
1093,Dave Heffernan,(H),"v USA Harrison, 10 Jun 2017"
1094,Andrew Porter,(P),"v USA Harrison, 10 Jun 2017"
1095,James Ryan,(L),"v USA Harrison, 10 Jun 2017"
1096,Rory Scannell,(C),"v USA Harrison, 10 Jun 2017"
1097,Rory O'Loughlin,(FH),"v Japan Shizuoka, 17 Jun 2017"
1098,Kieran Treadwell,(L),"v Japan Shizuoka, 17 Jun 2017"
1099,John Cooney,(SH),"v Japan Tokyo, 24 Jun 2017"
1100,Bundee Aki,C,"v South Africa Lansdowne Road, 11 Nov 2017"
1101,Darren Sweetnam,(FB),"v South Africa Lansdowne Road, 11 Nov 2017"
1102,Chris Farrell,C,"v Fiji Lansdowne Road, 18 Nov 2017"
1103,Adam Byrne,W,"v Argentina Lansdowne Road, 25 Nov 2017"
1104,Jordan Larmour,(C),"v Italy Lansdowne Road, 10 Feb 2018"
1105,Tadhg Beirne,(F),"v Australia Melbourne, 16 Jun 2018"
1106,Will Addison,(W),"v Italy Chicago, 3 Nov 2018"
1107,Ross Byrne,(FH),"v Italy Chicago, 3 Nov 2018"
1108,Sammy Arnold,(FB),"v USA Lansdowne Road, 24 Nov 2018"
1109,Jack Carty,(FH),"v Italy Rome, 24 Feb 2019"
1110,Jean Kleyn,L,"v Italy Lansdowne Road, 10 Aug 2019"
1111,Mike Haley,(W),"v Italy Lansdowne Road, 10 Aug 2019"
1112,Caelan Doris,N8,"v Scotland Lansdowne Road, 1 Feb 2020"
1113,Ronan Kelleher,(H),"v Scotland Lansdowne Road, 1 Feb 2020"
1114,Max Deegan,(F),"v Wales Lansdowne Road, 8 Feb 2020"
1115,Will Connors,F,"v Italy Lansdowne Road, 24 Oct 2020"
1116,Hugo Keenan,W,"v Italy Lansdowne Road, 24 Oct 2020"
1117,Ed Byrne,(P),"v Italy Lansdowne Road, 24 Oct 2020"
1118,Jamison Gibson-Park,(SH),"v Italy Lansdowne Road, 24 Oct 2020"
1119,James Lowe,W,"v Wales Lansdowne Road, 13 Nov 2020"
1120,Billy Burns,(FH),"v Wales Lansdowne Road, 13 Nov 2020"
